molecule_chembl_id,target_chembl_id,canonical_smiles,standard_value,pIC50,assay_chembl_id,target_family,assay_type,compound_class,toxicity_risk,solubility_level,num_h_donors,num_h_acceptors,tpsa,num_rotatable_bonds,lipinski_compliant
CHEMBL354042,CHEMBL1907600,O=Nc1c(-c2c(O)[nH]c3ccccc23)[nH]c2cc(Br)ccc12,1200.0,5.920818753952375,CHEMBL663602,Cyclin-dependent kinase 5/CDK5 activator 1,B,Small Molecule,1,5,3.0,3.0,81.23999999999998,2.0,0
CHEMBL354042,CHEMBL2095188,O=Nc1c(-c2c(O)[nH]c3ccccc23)[nH]c2cc(Br)ccc12,340.0,6.468521082957745,CHEMBL683003,Glycogen synthase kinase-3,B,Small Molecule,2,4,3.0,3.0,81.23999999999998,2.0,0
CHEMBL84724,CHEMBL248,CO[C@H]1C(=O)N2C(C(=O)OC(C)(C)C)=C(COC(C)=O)CS(=O)(=O)[C@H]12,1000.0,6.0,CHEMBL676197,Leukocyte elastase,B,Small Molecule,2,5,0.0,8.0,116.28,4.0,1
CHEMBL55620,CHEMBL215,CN(O)C(=O)Cc1ccc(OCc2cccc(Cl)c2)cc1,200.0,6.698970004336019,CHEMBL618010,Arachidonate 5-lipoxygenase,B,Small Molecule,3,4,1.0,3.0,49.77,5.0,1
CHEMBL555543,CHEMBL205,Cl.NS(=O)(=O)c1cc2cc(CN3CCSCC3)sc2s1,2.6,8.585026652029182,CHEMBL656579,Carbonic anhydrase II,B,Small Molecule,2,3,1.0,6.0,63.400000000000006,3.0,1
CHEMBL544731,CHEMBL205,Cl.NS(=O)(=O)c1cc2cc(C(=O)NCCN3CCSCC3)sc2s1,2.9,8.537602002101044,CHEMBL656579,Carbonic anhydrase II,B,Small Molecule,1,3,2.0,7.0,92.5,5.0,1
CHEMBL144806,CHEMBL230,CCCCCSc1ccccc1OC(C)=O,5000.0,5.301029995663981,CHEMBL760085,Cyclooxygenase-2,B,Small Molecule,2,1,0.0,3.0,26.3,6.0,1
CHEMBL144533,CHEMBL230,CC(=O)Oc1ccccc1SCCCCCCBr,12000.0,4.920818753952375,CHEMBL760085,Cyclooxygenase-2,B,Small Molecule,2,2,0.0,3.0,26.3,8.0,1
CHEMBL280487,CHEMBL335,C=C1[C@@H](O)[C@@H]2O[C@]3(CC[C@H](/C=C/[C@@H](C)[C@@H]4CC(C)=C[C@@]5(O[C@H](C[C@@](C)(O)C(=O)O)CC[C@H]5O)O4)O3)CC[C@H]2O[C@@H]1[C@@H](O)C[C@H](C)[C@H]1O[C@@]2(CCCCO2)CC[C@H]1C,1.24,8.906578314837764,CHEMBL767486,Protein-tyrosine phosphatase 1B,B,Peptide,1,3,5.0,12.0,182.83,10.0,0
CHEMBL280487,CHEMBL335,C=C1[C@@H](O)[C@@H]2O[C@]3(CC[C@H](/C=C/[C@@H](C)[C@@H]4CC(C)=C[C@@]5(O[C@H](C[C@@](C)(O)C(=O)O)CC[C@H]5O)O4)O3)CC[C@H]2O[C@@H]1[C@@H](O)C[C@H](C)[C@H]1O[C@@]2(CCCCO2)CC[C@H]1C,1300.0,5.886056647693163,CHEMBL767326,Protein-tyrosine phosphatase 1B,B,Peptide,3,4,5.0,12.0,182.83,10.0,0
